Code_commune;type_maison;type_appartement;type_autres
71042;184;9;2
58076;79;;2
58075;169;1;
71040;2369;755;10
34009;922;40;2
34008;367;38;
83019;4820;5732;389
34007;341;8;5
09039;186;12;1
34006;207;9;
09038;231;6;5
22030;398;4;
34005;147;6;
83016;3409;1795;26
09037;26;1;
22031;491;16;2
34004;168;13;3
83015;390;81;6
22032;1187;127;2
34003;6275;15354;97
83018;1382;207;45
09035;209;14;
22033;375;8;64
34002;611;34;
83017;853;309;14
09034;44;1;3
10056;105;1;1
83012;1119;894;14
09033;40;5;1
10055;140;1;1
83011;821;440;3
09032;847;2731;7
10058;186;4;
83014;247;8;
09031;36;1;
10057;36;;
83013;210;41;1
09030;603;98;17
10059;64;2;1
83010;138;31;3
09070;376;38;1
22009;124;1;
58081;313;7;
58080;171;7;3
58083;832;260;4
58082;348;2;
95028;535;74;1
10021;72;;
71058;139;2;
10020;239;1;1
71059;1530;152;4
22001;316;18;
58089;206;1;1
71056;1243;59;3
95023;274;10;1
22002;490;11;1
58088;1595;221;1
71057;87;1;4
95024;118;3;
22003;405;;2
71054;360;2;14
22004;2269;270;3
95026;1033;206;156
22005;599;73;1
58085;497;20;5
71052;365;20;1
22006;123;4;
58084;98;1;
58087;443;8;
71050;166;2;16
22008;539;5;
58086;1766;792;4
71051;83;10;
83049;1298;881;24
83048;3664;2710;14
09069;64;4;
09068;50;1;1
09067;93;1;4
10023;107;;
83045;540;132;2
09066;458;8;
10022;129;;
83044;199;117;
09065;460;5;19
10025;135;;
83047;2480;1006;49
09064;38;4;1
10024;95;;1
83046;1702;449;8
09063;175;3;14
10027;38;2;1
83041;550;135;12
09062;394;15;
10026;22;1;
83040;69;8;1
09061;310;14;4
10029;95;;
83043;907;405;12
09060;374;26;1
10028;93;;1
83042;1583;1982;5
58092;401;4;
58094;435;5;
58093;108;;1
10030;525;28;2
10032;176;6;
58090;184;3;1
71069;282;12;3
95018;4844;12544;791
10031;219;1;4
95019;1433;696;6
22012;451;3;2
71067;103;2;
95012;93;1;2
22013;1231;102;4
58099;136;3;
71068;55;2;
22014;585;2;5
71065;208;3;3
95014;628;358;118
22015;763;23;1
71066;65;2;1
22016;789;47;9
58096;246;;1
71063;468;28;1
58095;1981;1461;7
71064;546;11;
22018;197;3;
58098;89;;
71061;236;2;2
22019;202;7;
58097;66;;2
71062;192;1;1
95011;192;7;
71060;154;2;
83038;271;44;2
09059;253;8;4
83037;604;80;6
09058;149;3;1
09057;571;8;26
22011;478;23;1
83039;100;20;3
09056;170;4;2
10034;886;730;3
83034;3611;3365;65
09055;208;4;
10033;1418;1460;27
83033;1396;378;45
09054;258;5;2
83036;3958;8137;51
09053;26;1;
10035;392;20;
83035;2554;204;316
09052;81;3;
10038;105;;1
83030;872;163;1
09051;96;4;
10037;216;;
09050;195;15;
83032;1773;556;12
10039;83;;
83031;1647;413;18
46092;171;1;6
46093;98;4;
46090;126;3;3
46091;159;4;1
46098;201;2;1
46096;69;5;1
46097;75;2;1
46094;248;4;
46095;434;38;
46081;97;;2
46082;249;7;2
46080;386;15;5
46089;603;68;3
46087;492;12;3
46088;485;39;2
46085;135;4;
46086;352;8;3
46083;702;63;8
46084;267;9;2
34092;623;33;2
34091;68;2;
34090;2958;1388;10
34099;44;2;
34098;183;1;11
34097;342;13;2
34096;393;17;1
34095;2654;667;32
34094;525;50;2
34093;152;12;2
46070;254;4;1
46078;101;1;2
46079;92;1;
46076;224;14;
46074;211;8;2
46075;160;2;1
46072;271;7;
46073;310;14;9
34081;1176;274;29
34080;317;34;7
46069;121;2;2
34089;614;58;2
34088;2171;692;66
34087;1119;207;2
34086;496;33;1
34085;181;5;
34084;806;60;1
34083;188;16;2
34082;706;64;1
46060;196;6;3
46068;190;4;5
46065;284;13;2
46066;408;41;1
46063;1201;80;1
46064;511;86;4
46061;132;3;1
46062;278;36;6
34070;348;13;
46058;369;4;4
46059;178;3;3
34078;697;58;1
58001;128;1;2
34077;1873;431;12
34076;588;65;
58003;584;12;4
34075;315;36;1
58002;634;11;3
34074;1317;155;1
34073;1095;125;6
34072;13;4;1
34071;303;150;1
22081;1826;144;32
58009;122;1;
22082;419;10;
58008;168;2;5
22083;387;11;
22084;1362;98;5
22085;301;7;1
58005;171;2;
22086;371;8;2
58004;310;1;1
22087;435;3;5
58007;228;2;1
22088;181;3;
34079;2434;2583;16
58006;173;8;
46056;75;3;2
46057;406;15;1
46054;253;6;5
46055;622;54;1
46052;164;5;1
46053;211;6;1
46050;93;1;1
46051;178;8;4
46049;204;8;2
46047;167;3;1
34067;730;99;2
58012;443;9;
34066;109;7;
58011;176;7;1
34065;333;14;
58014;78;;
34064;305;56;6
58013;94;1;
34063;1291;110;11
34062;105;6;
34061;422;29;2
58010;654;28;2
34060;243;3;2
22092;224;3;
22093;3867;872;64
58019;84;4;
22094;1897;216;4
22095;116;6;1
22096;252;7;3
58016;133;;
22097;315;15;
58015;139;1;
22098;577;28;2
