Code_commune;surf_moins_30;surf_30_40;surf_40_60;surf_60_80;surf_80_100;surf_100_120;surf_plus_120;surf_hors_res_principale;surf_hors_log_ordinaire
42260;2;26;24;46;95;105;104;131;
42262;2;6;34;100;197;172;209;174;
42256;3;15;147;310;641;443;389;270;
42257;2;11;40;69;132;75;76;168;
42259;2;25;103;176;474;349;333;141;
17296;5;3;20;47;125;112;155;82;
42252;2;;4;19;35;24;32;53;
17297;6;34;79;161;267;233;282;1016;
42253;1;4;9;40;160;137;125;40;
67515;2;2;3;20;36;60;110;14;
17298;1;5;15;40;118;86;162;75;
42254;3;2;16;33;76;99;79;80;
17299;240;381;955;1348;1100;516;418;1299;
42255;2;1;12;24;32;32;34;59;
67513;1;1;5;8;12;15;18;40;
30270;5;11;37;102;187;147;158;98;
67519;3;24;134;342;464;467;1025;164;
30272;4;1;4;15;15;8;14;57;
17295;1;4;13;32;89;88;136;90;
67517;1;2;13;32;59;69;100;44;
17291;24;137;412;513;796;497;575;338;
29278;6;19;101;167;258;178;159;325;
30278;5;20;48;102;392;301;310;193;
55532;1;1;2;16;24;31;47;15;
29277;5;17;69;159;232;235;198;259;
30277;1;1;12;33;59;62;53;83;
55531;1;;3;5;26;34;39;10;
29276;3;15;28;83;149;126;152;249;
55530;1;;1;6;10;13;16;20;
29275;6;9;54;105;85;87;47;378;
30279;7;2;12;42;96;87;77;119;
30274;2;12;66;144;522;375;299;153;
54205;4;22;92;217;375;229;183;155;
30273;10;11;26;79;192;148;114;185;
30276;20;50;200;305;449;276;275;347;
29279;6;28;98;182;373;289;291;216;
55533;13;34;90;170;245;149;146;249;
29274;17;50;254;460;769;567;402;571;
29273;3;11;71;157;279;307;287;570;
29272;4;13;72;200;364;371;283;132;
67521;1;1;12;27;39;47;79;48;
42246;5;4;63;94;136;89;105;164;
42247;1;1;15;21;30;22;35;90;
42248;7;7;60;96;147;105;106;207;
67520;22;91;279;423;614;444;542;335;
67525;2;7;43;82;156;160;258;85;
42242;3;1;24;96;265;178;176;71;
67526;1;2;40;78;112;149;262;49;
67523;1;5;28;76;212;305;497;62;
67524;2;3;6;29;43;68;79;53;
67529;3;9;65;150;259;369;561;144;
30261;1;1;;13;31;24;29;22;
31592;1;2;10;44;145;192;254;38;
30260;3;12;23;49;139;109;103;87;
31591;1;3;1;9;10;6;14;18;
67528;2;1;6;16;56;65;90;19;
42249;1;15;53;99;210;152;155;202;
30267;1;5;25;37;52;60;53;58;
30266;4;12;40;78;122;90;77;265;
29287;2;11;13;53;105;112;124;274;
30269;22;70;154;243;290;191;195;661;
55541;1;;5;16;50;45;100;24;
30268;1;6;24;65;78;54;53;153;
30263;27;70;234;409;511;312;249;550;
55547;1;1;;6;17;10;16;11;
54215;24;78;330;741;871;475;372;312;
55545;191;205;568;809;771;497;418;541;
54213;1;;4;12;34;42;58;8;
29281;3;6;27;73;127;110;79;85;
29280;8;9;49;154;292;241;218;605;
55549;2;;;;3;16;19;26;
29282;1;1;10;23;38;49;36;23;
91191;79;161;622;1231;796;408;347;274;
91198;2;13;49;73;159;134;165;50;
91195;17;16;27;41;67;68;117;76;
66168;11;47;144;340;494;335;293;460;
67499;1;1;2;10;29;34;61;66;
66169;1;1;6;8;14;9;15;33;
66166;3;3;32;48;37;30;31;194;
67497;1;3;7;15;41;80;126;23;
91122;179;173;504;604;645;669;1136;412;
66167;11;27;76;120;109;99;93;765;
91129;10;33;126;185;304;335;336;157;
54186;4;2;18;37;95;98;184;31;
78152;2;10;28;54;71;74;435;51;
91121;4;8;12;24;37;46;49;82;
54184;75;146;812;1362;926;488;511;347;
54189;2;4;4;16;45;53;109;62;
54188;1;4;3;30;132;125;164;36;
80475;3;1;4;19;25;17;21;28;
31500;6;20;39;45;55;51;58;654;
78158;706;468;1114;1879;1201;692;805;732;
80479;1;2;9;31;32;33;32;20;
80478;1;;4;9;18;16;10;12;
31507;2;26;110;95;216;130;107;68;
67491;1;2;7;13;34;35;38;21;
31506;13;97;431;414;530;329;345;119;
66161;8;15;57;125;172;118;115;218;
67492;1;3;17;30;58;74;96;39;
31509;8;4;8;6;13;15;18;113;
31503;6;6;37;93;147;70;89;112;
66164;48;216;618;932;1087;644;593;660;
67495;3;31;136;289;335;343;771;139;
31505;1;2;4;13;40;28;63;36;
66162;3;10;9;21;67;62;74;67;
80470;1;1;;17;20;15;18;2;
66179;4;17;71;124;113;62;94;475;
17202;1;2;8;18;98;49;87;74;
91114;131;270;641;1200;801;558;620;321;
66177;3;16;22;98;253;115;91;72;
91111;36;115;102;137;273;284;350;85;
66178;8;21;89;212;291;199;184;282;
91115;63;107;210;309;311;215;278;147;
17200;48;73;226;534;863;617;917;422;
54192;1;1;;6;36;35;45;12;
78140;1;5;30;39;88;107;197;24;
54197;2;1;25;90;303;299;260;34;
54196;10;14;38;89;179;141;180;60;
54195;2;;1;5;16;24;28;3;
54194;6;3;10;16;25;44;102;31;
78143;15;12;27;60;69;102;244;47;
78146;209;411;1055;1296;783;477;628;574;
80464;1;5;42;90;134;77;47;342;
54198;3;;2;6;18;27;58;18;
80468;1;2;3;11;20;12;15;4;
66171;190;362;501;371;376;252;287;4956;
66172;21;73;302;400;644;346;259;172;
66170;1;1;11;6;4;6;40;11;
91109;6;11;34;57;122;120;107;38;
66175;13;26;74;286;403;300;264;367;
17206;2;1;;11;35;29;63;45;
66176;8;30;103;223;401;250;275;219;
80461;1;;;13;21;18;35;7;
17207;1;14;28;61;71;72;114;717;
66174;17;41;147;228;306;210;276;239;
66188;2;3;12;26;28;21;25;535;
66189;8;55;321;341;610;490;530;175;
78171;3;11;30;28;99;92;224;74;
78172;174;421;1068;1578;1086;746;532;511;
80498;1;3;27;34;81;52;60;27;
80497;1;1;1;10;16;15;9;38;
80496;5;1;3;9;24;14;17;38;
66182;68;164;451;607;590;313;232;2721;
66180;60;200;715;1012;1526;792;510;913;
66181;1;1;4;5;10;16;13;471;
66186;4;32;59;215;398;231;172;179;
80495;3;8;18;43;56;49;54;53;
66187;8;69;104;181;213;154;133;442;
80493;1;;3;12;16;28;50;16;
66185;1;4;13;29;45;26;46;27;
91135;11;15;44;114;272;195;238;72;
91136;34;43;108;225;227;148;175;81;
78160;82;184;393;322;314;277;825;338;
78162;3;5;11;28;27;23;127;37;
78164;5;12;21;34;38;41;154;65;
91132;17;32;47;76;96;83;114;35;
78165;63;97;447;1143;415;319;345;172;
91130;4;11;39;60;82;83;157;100;
78168;260;129;131;335;389;304;176;109;
80488;4;25;91;180;202;104;91;184;
80486;2;7;40;79;63;50;34;95;
80485;2;9;28;80;134;101;140;44;
66190;13;50;168;288;481;244;170;186;
80489;65;53;332;744;840;311;143;192;
66193;3;5;14;36;25;15;13;140;
66194;3;7;20;22;31;19;27;176;
66191;1;1;7;3;2;;1;38;
66198;4;8;26;37;42;31;30;168;
66195;12;70;301;696;1007;626;574;404;
66196;19;52;155;275;392;288;354;785;
80481;4;5;15;42;52;32;25;30;
78190;71;142;290;355;156;150;467;145;
78193;13;31;30;47;49;60;212;66;
