Date;Code_region;Filiere;Injection_quot
2020-12-04;24;Nucléaire;223146.4
2020-12-04;32;Eolien;599.0355
2020-12-04;32;Nucléaire;56081.152
2020-12-04;75;Solaire;147.9675
2020-12-05;27;Hydraulique;579.7095
2020-12-05;24;Nucléaire;223252.38
2020-12-05;24;Solaire;10.2295
2020-12-05;44;Nucléaire;253695.0
2020-12-05;32;Bioénergies;628.968
2020-12-05;11;Thermique non renouvelable;5389.3667
2020-12-05;75;Nucléaire;139247.47
2020-12-05;93;Solaire;24.534
2020-12-06;53;Thermique non renouvelable;0.0
2020-12-06;44;Thermique non renouvelable;16981.34
2020-12-06;32;Thermique non renouvelable;703.42
2020-12-06;28;Thermique non renouvelable;1380.03
2020-12-07;53;Thermique non renouvelable;0.0
2020-12-07;24;Nucléaire;224369.75
2020-12-07;32;Bioénergies;604.038
2020-12-07;28;Nucléaire;121470.35
2020-12-07;28;Thermique non renouvelable;1361.5945
2020-12-07;52;Thermique non renouvelable;33073.453
2020-12-08;32;Thermique non renouvelable;705.4585
2020-12-08;28;Thermique non renouvelable;15967.268
2020-12-08;75;Nucléaire;139316.89
2020-12-08;76;Hydraulique;35174.137
2020-12-09;27;Hydraulique;2719.48
2020-12-09;27;Solaire;53.7935
2020-12-09;24;Nucléaire;226199.88
2020-12-09;24;Solaire;74.926
2020-12-09;32;Bioénergies;631.602
2020-12-09;28;Nucléaire;144097.02
2020-12-09;75;Hydraulique;15315.843
2020-12-09;75;Nucléaire;139467.28
2020-12-09;75;Solaire;365.282
2020-12-09;76;Eolien;1405.2395
2020-12-09;76;Eolien;4689.2983
2020-12-09;52;Thermique non renouvelable;21326.414
2020-12-09;93;Solaire;274.33
2020-12-09;93;Thermique non renouvelable;31850.795
2020-12-10;24;Eolien;817.692
2020-12-10;32;Eolien;2224.793
2020-12-10;32;Thermique non renouvelable;23273.564
2020-12-10;11;Thermique non renouvelable;12887.509
2020-12-10;76;Hydraulique;42318.34
2020-12-10;93;Bioénergies;994.203
2020-12-11;44;Hydraulique;15053.893
2020-12-11;44;Nucléaire;210600.44
2020-12-11;32;Bioénergies;598.479
2020-12-11;32;Thermique non renouvelable;693.2705
2020-12-11;75;Thermique non renouvelable;367.941
2020-12-11;93;Hydraulique;22490.205
2020-12-12;44;Nucléaire;221562.98
2020-12-12;32;Eolien;1160.809
2020-12-12;32;Nucléaire;87085.414
2020-12-12;75;Hydraulique;12151.799
2020-12-12;75;Thermique non renouvelable;367.875
2020-12-12;76;Eolien;2002.016
2020-12-12;76;Eolien;635.178
2020-12-12;76;Hydraulique;27776.408
2020-12-12;93;Hydraulique;12451.702
2020-12-12;93;Thermique non renouvelable;27148.307
2020-12-13;24;Solaire;17.186
2020-12-13;44;Nucléaire;210939.66
2020-12-13;32;Thermique non renouvelable;702.769
2020-12-13;28;Nucléaire;133673.5
2020-12-13;75;Hydraulique;12922.776
2020-12-13;76;Hydraulique;24382.477
2020-12-13;93;Bioénergies;1010.5105
2020-12-13;93;Thermique non renouvelable;25396.023
2020-12-14;44;Nucléaire;186340.0
2020-12-14;75;Hydraulique;16510.584
2020-12-14;75;Nucléaire;137704.22
2020-12-14;75;Solaire;69.6415
2020-12-14;76;Eolien;1659.123
2020-12-14;76;Eolien;2196.487
2020-12-14;93;Hydraulique;17721.254
2020-12-15;84;Nucléaire;258071.66
2020-12-15;44;Hydraulique;19293.088
2020-12-15;44;Nucléaire;215859.4
2020-12-15;32;Eolien;660.684
2020-12-15;11;Thermique non renouvelable;5741.333
2020-12-15;75;Nucléaire;137660.4
2020-12-15;75;Solaire;396.6725
2020-12-15;93;Hydraulique;24341.777
2020-12-15;93;Solaire;55.5825
2020-12-16;84;Hydraulique;95860.93
2020-12-16;27;Solaire;102.3365
2020-12-16;24;Nucléaire;223217.2
2020-12-16;24;Solaire;81.1745
2020-12-16;44;Hydraulique;19344.686
2020-12-16;75;Solaire;389.052
2020-12-16;93;Bioénergies;830.594
2020-12-17;27;Hydraulique;2828.254
2020-12-17;24;Solaire;34.583
2020-12-17;75;Nucléaire;117606.92
2020-12-17;76;Hydraulique;52168.62
2020-12-17;52;Thermique non renouvelable;27527.61
