Date;Jour;Zone_A;Zone_B;Zone_C;Nom_vacances
12-09-2012;Mercredi; ; ; ;
13-09-2012;Jeudi; ; ; ;
14-09-2012;Vendredi; ; ; ;
15-09-2012;Samedi; ; ; ;
16-09-2012;Dimanche; ; ; ;
17-09-2012;Lundi; ; ; ;
18-09-2012;Mardi; ; ; ;
19-09-2012;Mercredi; ; ; ;
20-09-2012;Jeudi; ; ; ;
21-09-2012;Vendredi; ; ; ;
22-09-2012;Samedi; ; ; ;
23-09-2012;Dimanche; ; ; ;
24-09-2012;Lundi; ; ; ;
25-09-2012;Mardi; ; ; ;
26-09-2012;Mercredi; ; ; ;
27-09-2012;Jeudi; ; ; ;
28-09-2012;Vendredi; ; ; ;
29-09-2012;Samedi; ; ; ;
30-09-2012;Dimanche; ; ; ;
01-10-2012;Lundi; ; ; ;
02-10-2012;Mardi; ; ; ;
03-10-2012;Mercredi; ; ; ;
04-10-2012;Jeudi; ; ; ;
05-10-2012;Vendredi; ; ; ;
06-10-2012;Samedi; ; ; ;
07-10-2012;Dimanche; ; ; ;
08-10-2012;Lundi; ; ; ;
09-10-2012;Mardi; ; ; ;
10-10-2012;Mercredi; ; ; ;
11-10-2012;Jeudi; ; ; ;
12-10-2012;Vendredi; ; ; ;
13-10-2012;Samedi; ; ; ;
14-10-2012;Dimanche; ; ; ;
15-10-2012;Lundi; ; ; ;
16-10-2012;Mardi; ; ; ;
17-10-2012;Mercredi; ; ; ;
18-10-2012;Jeudi; ; ; ;
19-10-2012;Vendredi; ; ; ;
20-10-2012;Samedi; ; ; ;
21-10-2012;Dimanche; ; ; ;
22-10-2012;Lundi; ; ; ;
23-10-2012;Mardi; ; ; ;
24-10-2012;Mercredi; ; ; ;
25-10-2012;Jeudi; ; ; ;
26-10-2012;Vendredi; ; ; ;
27-10-2012;Samedi;oui;oui;oui;Toussaint
28-10-2012;Dimanche;oui;oui;oui;Toussaint
29-10-2012;Lundi;oui;oui;oui;Toussaint
30-10-2012;Mardi;oui;oui;oui;Toussaint
31-10-2012;Mercredi;oui;oui;oui;Toussaint
01-11-2012;Jeudi;oui;oui;oui;Toussaint
02-11-2012;Vendredi;oui;oui;oui;Toussaint
03-11-2012;Samedi;oui;oui;oui;Toussaint
04-11-2012;Dimanche;oui;oui;oui;Toussaint
05-11-2012;Lundi;oui;oui;oui;Toussaint
06-11-2012;Mardi;oui;oui;oui;Toussaint
07-11-2012;Mercredi;oui;oui;oui;Toussaint
08-11-2012;Jeudi; ; ; ;
09-11-2012;Vendredi; ; ; ;
10-11-2012;Samedi; ; ; ;
11-11-2012;Dimanche; ; ; ;
12-11-2012;Lundi; ; ; ;
13-11-2012;Mardi; ; ; ;
14-11-2012;Mercredi; ; ; ;
15-11-2012;Jeudi; ; ; ;
16-11-2012;Vendredi; ; ; ;
17-11-2012;Samedi; ; ; ;
18-11-2012;Dimanche; ; ; ;
19-11-2012;Lundi; ; ; ;
20-11-2012;Mardi; ; ; ;
21-11-2012;Mercredi; ; ; ;
22-11-2012;Jeudi; ; ; ;
23-11-2012;Vendredi; ; ; ;
24-11-2012;Samedi; ; ; ;
25-11-2012;Dimanche; ; ; ;
26-11-2012;Lundi; ; ; ;
27-11-2012;Mardi; ; ; ;
28-11-2012;Mercredi; ; ; ;
29-11-2012;Jeudi; ; ; ;
30-11-2012;Vendredi; ; ; ;
01-12-2012;Samedi; ; ; ;
02-12-2012;Dimanche; ; ; ;
03-12-2012;Lundi; ; ; ;
04-12-2012;Mardi; ; ; ;
05-12-2012;Mercredi; ; ; ;
06-12-2012;Jeudi; ; ; ;
07-12-2012;Vendredi; ; ; ;
08-12-2012;Samedi; ; ; ;
09-12-2012;Dimanche; ; ; ;
10-12-2012;Lundi; ; ; ;
11-12-2012;Mardi; ; ; ;
12-12-2012;Mercredi; ; ; ;
13-12-2012;Jeudi; ; ; ;
14-12-2012;Vendredi; ; ; ;
15-12-2012;Samedi; ; ; ;
16-12-2012;Dimanche; ; ; ;
17-12-2012;Lundi; ; ; ;
18-12-2012;Mardi; ; ; ;
19-12-2012;Mercredi; ; ; ;
20-12-2012;Jeudi; ; ; ;
21-12-2012;Vendredi; ; ; ;
22-12-2012;Samedi;oui;oui;oui;Noël
23-12-2012;Dimanche;oui;oui;oui;Noël
24-12-2012;Lundi;oui;oui;oui;Noël
25-12-2012;Mardi;oui;oui;oui;Noël
26-12-2012;Mercredi;oui;oui;oui;Noël
27-12-2012;Jeudi;oui;oui;oui;Noël
28-12-2012;Vendredi;oui;oui;oui;Noël
29-12-2012;Samedi;oui;oui;oui;Noël
30-12-2012;Dimanche;oui;oui;oui;Noël
31-12-2012;Lundi;oui;oui;oui;Noël
01-01-2013;Mardi;oui;oui;oui;Noël
02-01-2013;Mercredi;oui;oui;oui;Noël
03-01-2013;Jeudi;oui;oui;oui;Noël
04-01-2013;Vendredi;oui;oui;oui;Noël
05-01-2013;Samedi;oui;oui;oui;Noël
06-01-2013;Dimanche;oui;oui;oui;Noël
07-01-2013;Lundi; ; ; ;
08-01-2013;Mardi; ; ; ;
09-01-2013;Mercredi; ; ; ;
10-01-2013;Jeudi; ; ; ;
11-01-2013;Vendredi; ; ; ;
12-01-2013;Samedi; ; ; ;
13-01-2013;Dimanche; ; ; ;
14-01-2013;Lundi; ; ; ;
15-01-2013;Mardi; ; ; ;
16-01-2013;Mercredi; ; ; ;
17-01-2013;Jeudi; ; ; ;
18-01-2013;Vendredi; ; ; ;
19-01-2013;Samedi; ; ; ;
20-01-2013;Dimanche; ; ; ;
